pc_time,packet_type,esp_millis,steer,throttle,brake,mode_id,fault_flag,status_text
2026-04-23 15:13:04.956,STATUS,21265,,,,,,FRAME_ERROR
2026-04-23 15:13:04.982,STATUS,21284,,,,,,FRAME_ERROR
2026-04-23 15:13:04.996,STATUS,21304,,,,,,FRAME_ERROR
2026-04-23 15:13:05.012,STATUS,21321,,,,,,FRAME_ERROR
2026-04-23 15:13:05.017,STATUS,21326,,,,,,FRAME_ERROR
2026-04-23 15:13:05.034,STATUS,21341,,,,,,FRAME_ERROR
2026-04-23 15:13:05.053,STATUS,21362,,,,,,FRAME_ERROR
2026-04-23 15:13:05.074,STATUS,21381,,,,,,FRAME_ERROR
2026-04-23 15:13:05.089,STATUS,21398,,,,,,FRAME_ERROR
2026-04-23 15:13:05.091,STATUS,21401,,,,,,FRAME_ERROR
2026-04-23 15:13:05.110,STATUS,21420,,,,,,FRAME_ERROR
2026-04-23 15:13:05.125,STATUS,21435,,,,,,FRAME_ERROR
2026-04-23 15:13:05.147,STATUS,21456,,,,,,FRAME_ERROR
2026-04-23 15:13:05.162,STATUS,21470,,,,,,FRAME_ERROR
2026-04-23 15:13:05.165,STATUS,21475,,,,,,FRAME_ERROR
2026-04-23 15:13:05.167,STATUS,21477,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-39"
2026-04-23 15:13:05.188,STATUS,21495,,,,,,FRAME_ERROR
2026-04-23 15:13:05.206,STATUS,21515,,,,,,FRAME_ERROR
2026-04-23 15:13:05.226,STATUS,21535,,,,,,FRAME_ERROR
2026-04-23 15:13:05.246,STATUS,21555,,,,,,FRAME_ERROR
2026-04-23 15:13:05.249,STATUS,21558,,,,,,FRAME_ERROR
2026-04-23 15:13:05.266,STATUS,21574,,,,,,FRAME_ERROR
2026-04-23 15:13:05.283,STATUS,21592,,,,,,FRAME_ERROR
2026-04-23 15:13:05.301,STATUS,21609,,,,,,FRAME_ERROR
2026-04-23 15:13:05.316,STATUS,21624,,,,,,FRAME_ERROR
2026-04-23 15:13:05.318,STATUS,21628,,,,,,FRAME_ERROR
2026-04-23 15:13:05.336,STATUS,21644,,,,,,FRAME_ERROR
2026-04-23 15:13:05.354,STATUS,21663,,,,,,FRAME_ERROR
2026-04-23 15:13:05.377,STATUS,21683,,,,,,FRAME_ERROR
2026-04-23 15:13:05.390,STATUS,21700,,,,,,FRAME_ERROR
2026-04-23 15:13:05.393,STATUS,21702,,,,,,FRAME_ERROR
2026-04-23 15:13:05.410,STATUS,21720,,,,,,FRAME_ERROR
2026-04-23 15:13:05.428,STATUS,21738,,,,,,FRAME_ERROR
2026-04-23 15:13:05.449,STATUS,21757,,,,,,FRAME_ERROR
2026-04-23 15:13:05.463,STATUS,21771,,,,,,FRAME_ERROR
2026-04-23 15:13:05.467,STATUS,21774,,,,,,FRAME_ERROR
2026-04-23 15:13:05.485,STATUS,21794,,,,,,FRAME_ERROR
2026-04-23 15:13:05.507,STATUS,21815,,,,,,FRAME_ERROR
2026-04-23 15:13:05.523,STATUS,21832,,,,,,FRAME_ERROR
2026-04-23 15:13:05.541,STATUS,21849,,,,,,FRAME_ERROR
2026-04-23 15:13:05.543,STATUS,21851,,,,,,FRAME_ERROR
2026-04-23 15:13:05.567,STATUS,21872,,,,,,FRAME_ERROR
2026-04-23 15:13:05.583,STATUS,21889,,,,,,FRAME_ERROR
2026-04-23 15:13:05.597,STATUS,21906,,,,,,FRAME_ERROR
