pc_time,packet_type,esp_millis,byte_hex,byte_dec,steer,throttle,brake,mode_id,fault_flag,status_text,raw_line
2026-04-23 16:01:55.225,RAWBYTE,10379,16,22,,,,,,,"RAWBYTE,10379,16,22"
2026-04-23 16:01:55.247,RAWBYTE,10400,01,1,,,,,,,"RAWBYTE,10400,01,1"
2026-04-23 16:01:55.269,RAWBYTE,10420,21,33,,,,,,,"RAWBYTE,10420,21,33"
2026-04-23 16:01:55.286,RAWBYTE,10440,2c,44,,,,,,,"RAWBYTE,10440,2c,44"
2026-04-23 16:01:55.307,RAWBYTE,10461,0a,10,,,,,,,"RAWBYTE,10461,0a,10"
2026-04-23 16:01:55.328,RAWBYTE,10481,0b,11,,,,,,,"RAWBYTE,10481,0b,11"
2026-04-23 16:01:55.357,RAWBYTE,10502,16,22,,,,,,,"RAWBYTE,10502,16,22"
2026-04-23 16:01:55.371,RAWBYTE,10522,0a,10,,,,,,,"RAWBYTE,10522,0a,10"
2026-04-23 16:01:55.388,RAWBYTE,10543,0b,11,,,,,,,"RAWBYTE,10543,0b,11"
2026-04-23 16:01:55.419,RAWBYTE,10563,2c,44,,,,,,,"RAWBYTE,10563,2c,44"
2026-04-23 16:01:55.435,RAWBYTE,10584,0a,10,,,,,,,"RAWBYTE,10584,0a,10"
2026-04-23 16:01:55.450,RAWBYTE,10604,02,2,,,,,,,"RAWBYTE,10604,02,2"
2026-04-23 16:01:55.472,RAWBYTE,10625,16,22,,,,,,,"RAWBYTE,10625,16,22"
2026-04-23 16:01:55.491,RAWBYTE,10645,0a,10,,,,,,,"RAWBYTE,10645,0a,10"
2026-04-23 16:01:55.512,RAWBYTE,10666,21,33,,,,,,,"RAWBYTE,10666,21,33"
2026-04-23 16:01:55.538,RAWBYTE,10686,02,2,,,,,,,"RAWBYTE,10686,02,2"
2026-04-23 16:01:55.552,RAWBYTE,10707,01,1,,,,,,,"RAWBYTE,10707,01,1"
2026-04-23 16:01:55.575,RAWBYTE,10727,0b,11,,,,,,,"RAWBYTE,10727,0b,11"
2026-04-23 16:01:55.593,RAWBYTE,10748,2c,44,,,,,,,"RAWBYTE,10748,2c,44"
2026-04-23 16:01:55.615,RAWBYTE,10768,16,22,,,,,,,"RAWBYTE,10768,16,22"
2026-04-23 16:01:55.634,RAWBYTE,10788,21,33,,,,,,,"RAWBYTE,10788,21,33"
2026-04-23 16:01:55.655,RAWBYTE,10809,21,33,,,,,,,"RAWBYTE,10809,21,33"
2026-04-23 16:01:55.676,RAWBYTE,10829,02,2,,,,,,,"RAWBYTE,10829,02,2"
2026-04-23 16:01:55.695,RAWBYTE,10850,01,1,,,,,,,"RAWBYTE,10850,01,1"
2026-04-23 16:01:55.721,RAWBYTE,10870,21,33,,,,,,,"RAWBYTE,10870,21,33"
2026-04-23 16:01:55.736,RAWBYTE,10891,0b,11,,,,,,,"RAWBYTE,10891,0b,11"
2026-04-23 16:01:55.756,RAWBYTE,10911,16,22,,,,,,,"RAWBYTE,10911,16,22"
2026-04-23 16:01:55.779,RAWBYTE,10932,0a,10,,,,,,,"RAWBYTE,10932,0a,10"
2026-04-23 16:01:55.798,RAWBYTE,10952,0b,11,,,,,,,"RAWBYTE,10952,0b,11"
2026-04-23 16:01:55.819,RAWBYTE,10973,2c,44,,,,,,,"RAWBYTE,10973,2c,44"
2026-04-23 16:01:55.839,RAWBYTE,10993,01,1,,,,,,,"RAWBYTE,10993,01,1"
2026-04-23 16:01:55.859,RAWBYTE,11014,21,33,,,,,,,"RAWBYTE,11014,21,33"
2026-04-23 16:01:55.886,RAWBYTE,11034,02,2,,,,,,,"RAWBYTE,11034,02,2"
2026-04-23 16:01:55.900,RAWBYTE,11055,01,1,,,,,,,"RAWBYTE,11055,01,1"
2026-04-23 16:01:55.922,RAWBYTE,11075,21,33,,,,,,,"RAWBYTE,11075,21,33"
2026-04-23 16:01:55.941,RAWBYTE,11095,02,2,,,,,,,"RAWBYTE,11095,02,2"
2026-04-23 16:01:55.962,RAWBYTE,11116,16,22,,,,,,,"RAWBYTE,11116,16,22"
2026-04-23 16:01:55.984,RAWBYTE,11137,0a,10,,,,,,,"RAWBYTE,11137,0a,10"
2026-04-23 16:01:56.003,RAWBYTE,11157,0b,11,,,,,,,"RAWBYTE,11157,0b,11"
2026-04-23 16:01:56.025,RAWBYTE,11177,16,22,,,,,,,"RAWBYTE,11177,16,22"
2026-04-23 16:01:56.044,RAWBYTE,11198,0a,10,,,,,,,"RAWBYTE,11198,0a,10"
2026-04-23 16:01:56.064,RAWBYTE,11218,0b,11,,,,,,,"RAWBYTE,11218,0b,11"
2026-04-23 16:01:56.088,RAWBYTE,11239,01,1,,,,,,,"RAWBYTE,11239,01,1"
2026-04-23 16:01:56.106,RAWBYTE,11259,21,33,,,,,,,"RAWBYTE,11259,21,33"
2026-04-23 16:01:56.127,RAWBYTE,11280,0b,11,,,,,,,"RAWBYTE,11280,0b,11"
2026-04-23 16:01:56.146,RAWBYTE,11300,16,22,,,,,,,"RAWBYTE,11300,16,22"
2026-04-23 16:01:56.167,RAWBYTE,11321,0a,10,,,,,,,"RAWBYTE,11321,0a,10"
2026-04-23 16:01:56.189,RAWBYTE,11341,0b,11,,,,,,,"RAWBYTE,11341,0b,11"
2026-04-23 16:01:56.208,RAWBYTE,11362,16,22,,,,,,,"RAWBYTE,11362,16,22"
2026-04-23 16:01:56.229,RAWBYTE,11382,21,33,,,,,,,"RAWBYTE,11382,21,33"
2026-04-23 16:01:56.248,RAWBYTE,11403,02,2,,,,,,,"RAWBYTE,11403,02,2"
2026-04-23 16:01:56.268,RAWBYTE,11423,16,22,,,,,,,"RAWBYTE,11423,16,22"
2026-04-23 16:01:56.291,RAWBYTE,11444,0a,10,,,,,,,"RAWBYTE,11444,0a,10"
2026-04-23 16:01:56.310,RAWBYTE,11464,0b,11,,,,,,,"RAWBYTE,11464,0b,11"
2026-04-23 16:01:56.331,RAWBYTE,11485,16,22,,,,,,,"RAWBYTE,11485,16,22"
2026-04-23 16:01:56.351,RAWBYTE,11505,0b,11,,,,,,,"RAWBYTE,11505,0b,11"
2026-04-23 16:01:56.371,RAWBYTE,11526,2c,44,,,,,,,"RAWBYTE,11526,2c,44"
2026-04-23 16:01:56.393,RAWBYTE,11546,01,1,,,,,,,"RAWBYTE,11546,01,1"
