timestamp_s,session_id,scenario_id,phase,steer_in_deg,throttle_in,brake_in,speed_mps,yaw_rad,yaw_rate_rps,mode_id,fault_flag,rtt_s,jitter_s,steer_ref_deg,throttle_ref,brake_ref,speed_ref_mps,tol_steer_deg,tol_throttle,tol_brake,tol_speed_mps,e_steer_deg,e_throttle,e_brake,e_speed_mps,speed_min_mps,speed_max_mps,speed_in_corridor,e_speed_low,e_speed_high
121.513,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
121.576,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
121.624,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
121.687,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
121.75,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
121.814,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
121.877,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
121.941,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
122.005,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
122.068,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
122.131,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
122.194,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
122.259,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
122.323,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
122.387,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
122.451,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
122.514,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
122.578,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
122.648,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
122.712,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
122.774,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
122.838,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
122.9,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
122.964,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
123.027,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
123.091,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
123.139,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
123.201,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
123.264,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
123.328,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
123.39,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
123.453,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
123.516,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
123.578,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
123.641,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
123.704,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
123.768,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
123.832,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
